objectId,clusterId,area,perimeter,compactness,meanB1,stdB1,meanB2,stdB2,meanB3,stdB3,meanB4,stdB4,meanB5,stdB5,meanB6,stdB6
140,1,11812,1302.74,143.679,0.0711074,0.0129262,0.0755881,0.0116483,0.0632828,0.00829309,0.0712037,0.0098374,0.320338,0.0327099,0.642937,0.0377866
141,1,327,104.971,33.6967,0.0697043,0.0017313,0.0681727,0.00202835,0.0669808,0.00465829,0.0661706,0.00204341,0.36467,0.023769,0.585255,0.0483717
142,1,243,80.7279,26.8189,0.0731039,0.000877546,0.0714175,0.000872008,0.0702261,0.00106909,0.070075,0.00082193,0.358945,0.0228672,0.630269,0.0118623
143,1,1241,358.125,103.347,0.0703027,0.00341951,0.0726051,0.00309923,0.0641843,0.00318725,0.0702217,0.00306524,0.356569,0.0326132,0.686902,0.0433785
144,1,125,67.6569,36.6196,0.0688511,0.00101376,0.0714507,0.00108449,0.0609509,0.00106127,0.0699625,0.00105358,0.355671,0.0216233,0.682703,0.045726
145,1,98,56.2426,32.2779,0.0673654,0.00114143,0.0687059,0.00107126,0.0582643,0.00101424,0.0674241,0.00117801,0.335534,0.0219138,0.717044,0.0161305
146,1,103,54.8284,29.186,0.0675536,0.00102832,0.069974,0.00116036,0.059318,0.00106896,0.0684199,0.00138942,0.350352,0.0292778,0.703096,0.0350627
147,1,144,69.0711,33.1306,0.0651195,0.000985098,0.0662087,0.00104515,0.0567553,0.00101421,0.0649866,0.00100495,0.336166,0.0306753,0.58643,0.0260458
148,1,79,35.0711,15.5694,0.0686642,0.00113005,0.0729885,0.00109911,0.0618744,0.00107773,0.0712006,0.00134593,0.350757,0.0283802,0.651557,0.00595515
149,1,296,109.213,40.2957,0.0793788,0.02298,0.0855931,0.0183923,0.0680999,0.0128277,0.0744642,0.0154439,0.375848,0.0252439,0.626073,0.0161856
150,1,103,49.6569,23.9398,0.0693995,0.00351512,0.0749574,0.00201486,0.0603819,0.00114116,0.0683363,0.00257239,0.37628,0.0201848,0.682432,0.0532028
151,1,752,170.468,38.6428,0.0703377,0.00290592,0.0731763,0.00246628,0.0575699,0.00210432,0.0654149,0.00420987,0.33276,0.0314571,0.576723,0.034097
152,1,196,72.7696,27.0174,0.0740412,0.00268652,0.0760395,0.00204287,0.05889,0.00147332,0.0703614,0.0034005,0.332633,0.0247464,0.621415,0.00881787
153,1,143,70.8284,35.0816,0.070584,0.00419467,0.0711786,0.00568048,0.0593395,0.00160404,0.067389,0.00419941,0.364733,0.0242873,0.584625,0.0133909
154,1,96,37.0711,14.3153,0.0718764,0.00146705,0.0716986,0.00100093,0.057878,0.00103985,0.0612983,0.00179974,0.379371,0.0190041,0.627111,0.0114696
155,1,90,35.3137,13.8562,0.0629257,0.000869249,0.0605639,0.000651038,0.0614794,0.000752477,0.0579254,0.000626803,0.365664,0.0272593,0.504054,0.0113421
